element_type,osmid,name,geometry,latitude,longitude
node,5293570222,Pharmacie Lina صيدلية لينة,POINT (-4.9745419 34.0166758),34.0166758,-4.9745419
node,5295524721,Pharmacie Azzouzi صيدلية عزوزي,POINT (-4.9795386 34.0153241),34.0153241,-4.9795386
node,5298347522,Pharmacie Yousfi صيدلية يوسفي,POINT (-4.9834357 34.0057858),34.0057858,-4.9834357
node,5303210932,Pharmacie Sidi Brahim صيدلية سيدي ابراهيم,POINT (-4.9703139 34.0201153),34.0201153,-4.9703139
node,5303267325,Pharmacie Noureddine صيدلية نور الدين,POINT (-4.9641712 34.0200563),34.0200563,-4.9641712
node,5304746323,Pharmacie du Quartier Industriel صيدلية الحي الصناعي,POINT (-4.9714568 34.0222491),34.0222491,-4.9714568
node,5308231623,Pharmacie Talbi صيدلية طالبي,POINT (-4.9765996 34.0193429),34.0193429,-4.9765996
node,5309147427,Pharmacie Al Ikhlasse صيدلية الإخلاص,POINT (-4.978387 34.0041222),34.0041222,-4.978387
node,5309148523,Pharmacie Zohour صيدلية الزهور,POINT (-4.9828381 34.0044491),34.0044491,-4.9828381
node,5309148722,Pharmacie Al Akhawayn صيدلية الأخوين,POINT (-4.9804051 34.0074565),34.0074565,-4.9804051
node,5316237421,Pharmacie Hay El Hassani صيدلية حي الحساني,POINT (-4.9744947 34.0209771),34.0209771,-4.9744947
node,5316386524,Pharmacie Narjiss صيدلية النرجس,POINT (-4.9788651 34.0206094),34.0206094,-4.9788651
node,5316862623,Pharmacie Ismailia صيدلية الإسماعيلية,POINT (-4.9831621 34.0109079),34.0109079,-4.9831621
node,5320229021,Pharmacie Cotef صيدلية كوطيف,POINT (-4.9779877 34.0227418),34.0227418,-4.9779877
node,5320984826,Pharmacie Saoussane صيدلية سوسن,POINT (-4.9877202 34.002518),34.002518,-4.9877202
node,5320984833,Pharmacie La Famille صيدلية العائلة,POINT (-4.9869764 34.0050682),34.0050682,-4.9869764
node,5333830031,Pharmacie Hameda Benchekroun صيدلية حميدة بنشقرون,POINT (-4.993274 34.0086636),34.0086636,-4.993274
node,5333830421,Pharmacie La Suite صيدلية لاسويط,POINT (-4.9905295 33.9939304),33.9939304,-4.9905295
node,5356941721,Pharmacie Makro صيدلية ماكرو,POINT (-5.0532944 34.0201123),34.0201123,-5.0532944
node,5358636223,La Grande Pharmacie الصيدلية الكبرى,POINT (-5.0555968 34.0239277),34.0239277,-5.0555968
node,5360680621,Pharmacie El Boutahri صيدلي البوطهري,POINT (-5.0574499 34.0182077),34.0182077,-5.0574499
node,5361001722,Pharmacie Assafwa صيدلية الصفوة,POINT (-5.0490094 34.0215063),34.0215063,-5.0490094
node,5361214423,Pharmacie El Hijazi صيدلية الحجازي,POINT (-5.0462911 34.0202864),34.0202864,-5.0462911
node,5370125323,Pharmacie Sandra صيدلية ساندرا,POINT (-5.0506962 34.0242119),34.0242119,-5.0506962
node,5370323321,Pharmacie Zouagha Bas صيدلية الزواغة السفلى,POINT (-5.0462297 34.0277814),34.0277814,-5.0462297
node,5372625428,Pharmacie Al Hamd صيدلية الحمد,POINT (-5.0413497 34.0274386),34.0274386,-5.0413497
node,5375123532,Pharmacie El Qods صيدلية القدس,POINT (-5.0510426 34.0156066),34.0156066,-5.0510426
node,5375153021,Pharmacie L'Avenir صيدلية المستقبل,POINT (-5.0410357 34.0303541),34.0303541,-5.0410357
node,5377810721,Pharmacie Al Marja صيدلية المرجة,POINT (-5.0446229 34.0312285),34.0312285,-5.0446229
node,5377973123,Pharmacie Attaakhi صيدلية التآخي,POINT (-5.051411 34.031626),34.031626,-5.051411
node,5392797622,Pharmacie Arreda صيدلية الرضا,POINT (-5.0494287 34.0365448),34.0365448,-5.0494287
node,5393784822,Pharmacie Sefrioui صيدلية الصفريوي,POINT (-5.0097849 34.0088152),34.0088152,-5.0097849
node,5393785323,Pharmacie Diamant Vert صيدلية الجوهرة الخضراء,POINT (-5.0120511 34.0009245),34.0009245,-5.0120511
node,5395575621,Pharmacie Ouad El Jawahir صيدلية واد الجواهر,POINT (-5.0507853 34.0388197),34.0388197,-5.0507853
node,5398354121,Pharmacie Wafi صيدلية الوافي,POINT (-5.0441143 34.036935),34.036935,-5.0441143
node,5398499522,Pharmacie Espace Santé صيدلية فضاء الصحة,POINT (-5.0436688 34.0341382),34.0341382,-5.0436688
node,5398558823,Pharmacie Haj Bensalem صيدلية الحاج بنسالم,POINT (-5.038962 34.0351489),34.0351489,-5.038962
node,5398624423,Pharmacie Italia صيدلية إيطاليا,POINT (-5.0349723 34.0401158),34.0401158,-5.0349723
node,5400932621,Pharmacie Al Najoua صيدلية النجوى,POINT (-5.0406043 34.0375903),34.0375903,-5.0406043
node,5407132238,Pharmacie El Iraki صيدلية العراقي,POINT (-5.0486606 34.0147038),34.0147038,-5.0486606
node,5407220722,Pharmacie Al Oumma صيدلية الأمة,POINT (-5.0375648 34.0233281),34.0233281,-5.0375648
node,5414211822,Pharmacie Zouagha صيدلية الزواغة,POINT (-5.0351104 34.0247648),34.0247648,-5.0351104
node,5424399125,Pharmacie Bensouda صيدلية بن سودة,POINT (-5.0531777 34.0170139),34.0170139,-5.0531777
node,5424447822,Pharmacie Av Med VI صيدلية شارع محمد السادس,POINT (-5.028244 34.0263639),34.0263639,-5.028244
node,5430059334,Pharmacie des Sciences صيدلية العلوم,POINT (-5.0176469 34.0104753),34.0104753,-5.0176469
node,5437048725,Pharmacie Sekkat صيدلية السقاط,POINT (-5.0227221 34.0125631),34.0125631,-5.0227221
node,5437151022,Pharmacie Al Wahda صيدلية الوحدة,POINT (-5.0514716 34.0132168),34.0132168,-5.0514716
